mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Longwood,place-longw,63,510,62,1,8,41,1529
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Longwood Medical Area,place-lngmd,187,20,62,3,0,14,1530
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Magoun Square,place-mgngl,0,1,62,0,0,0,1531
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Medford/Tufts,place-mdftf,0,3,62,0,0,0,1532
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Mission Park,place-mispk,173,2,62,3,0,8,1533
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Museum of Fine Arts,place-mfa,111,14,62,2,0,14,1534
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Newton Centre,place-newto,423,10,62,7,0,41,1535
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Newton Highlands,place-newtn,261,18,62,4,0,35,1536
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Northeastern University,place-nuniv,258,42,62,4,1,16,1537
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,North Station,place-north,577,3321,62,9,54,22,1538
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Packard's Corner,place-brico,359,40,62,6,1,88,1539
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Park Street,place-pktrm,4683,3846,62,76,62,162,1540
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Prudential,place-prmnl,396,53,62,6,1,21,1541
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Reservoir,place-rsmnl,362,106,62,6,2,45,1542
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Riverside,place-river,1728,0,62,28,0,28,1543
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Riverway,place-rvrwy,132,3,62,2,0,6,1544
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Saint Mary's Street,place-smary,243,101,62,4,2,42,1545
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Saint Paul Street,place-stpul,256,12,62,4,0,38,1546
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Science Park/West End,place-spmnl,11,412,62,0,7,12,1547
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,South Street,place-sougr,290,0,62,5,0,5,1548
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Summit Avenue,place-sumav,221,13,62,4,0,29,1549
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Sutherland Road,place-sthld,628,3,62,10,0,28,1550
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Prudential,place-prmnl,24008,4333,62,387,70,1130,1551
