zip_code,postal_area_name,city,county,chia_region
01518,Fiskdale,Sturbridge,Worcester,Central Massachusetts
01519,Grafton,Grafton,Worcester,Central Massachusetts
01520,Holden,Holden,Worcester,Central Massachusetts
01521,Holland,Holland,Hampden,Central Massachusetts
01522,Jefferson,Holden,Worcester,Central Massachusetts
01523,Lancaster,Lancaster,Worcester,Central Massachusetts
01524,Leicester,Leicester,Worcester,Central Massachusetts
01525,Linwood,Northbridge,Worcester,Central Massachusetts
01526,Manchaug,Sutton,Worcester,Central Massachusetts
01527,Millbury,Millbury,Worcester,Central Massachusetts
01529,Millville,Millville,Worcester,Metro West
01531,New Braintree,New Braintree,Worcester,Central Massachusetts
01532,Northborough,Northborough,Worcester,Central Massachusetts
01534,Northbridge,Northbridge,Worcester,Central Massachusetts
01535,North Brookfield,North Brookfield,Worcester,Central Massachusetts
01536,North Grafton,Grafton,Worcester,Central Massachusetts
01537,North Oxford,Oxford,Worcester,Central Massachusetts
01538,North Uxbridge,Uxbridge,Worcester,Central Massachusetts
01540,Oxford,Oxford,Worcester,Central Massachusetts
01541,Princeton,Princeton,Worcester,Central Massachusetts
01542,Rochdale,Leicester,Worcester,Central Massachusetts
01543,Rutland,Rutland,Worcester,Central Massachusetts
01545,Shrewsbury,Shrewsbury,Worcester,Central Massachusetts
01546,Shrewsbury,Shrewsbury,Worcester,Central Massachusetts
01550,Southbridge,Southbridge,Worcester,Central Massachusetts
01560,South Grafton,Grafton,Worcester,Central Massachusetts
01561,South Lancaster,Lancaster,Worcester,Central Massachusetts
01562,Spencer,Spencer,Worcester,Central Massachusetts
01564,Sterling,Sterling,Worcester,Central Massachusetts
01566,Sturbridge,Sturbridge,Worcester,Central Massachusetts
01568,Upton,Upton,Worcester,Central Massachusetts
01569,Uxbridge,Uxbridge,Worcester,Central Massachusetts
01570,Webster,Webster,Worcester,Central Massachusetts
01571,Dudley,Dudley,Worcester,Central Massachusetts
01580,Westborough,Westborough,Worcester,Central Massachusetts
01581,Westborough,Westborough,Worcester,Central Massachusetts
01582,Westborough,Westborough,Worcester,Central Massachusetts
01583,West Boylston,West Boylston,Worcester,Central Massachusetts
01585,West Brookfield,West Brookfield,Worcester,Western Massachusetts
01586,West Millbury,Millbury,Worcester,Central Massachusetts
01587,West Upton,Upton,Worcester,Central Massachusetts
01588,Whitinsville,Northbridge,Worcester,Central Massachusetts
01590,Sutton,Sutton,Worcester,Central Massachusetts
01601,Worcester,Worcester,Worcester,Central Massachusetts
01602,Worcester,Worcester,Worcester,Central Massachusetts
01603,Worcester,Worcester,Worcester,Central Massachusetts
01604,Worcester,Worcester,Worcester,Central Massachusetts
01605,Worcester,Worcester,Worcester,Central Massachusetts
01606,Worcester,Worcester,Worcester,Central Massachusetts
01607,Worcester,Worcester,Worcester,Central Massachusetts
01608,Worcester,Worcester,Worcester,Central Massachusetts
01609,Worcester,Worcester,Worcester,Central Massachusetts
01610,Worcester,Worcester,Worcester,Central Massachusetts
01611,Cherry Valley,Leicester,Worcester,Central Massachusetts
01612,Paxton,Paxton,Worcester,Central Massachusetts
01613,Worcester,Worcester,Worcester,Central Massachusetts
01614,Worcester,Worcester,Worcester,Central Massachusetts
01615,Worcester,Worcester,Worcester,Central Massachusetts
01616,Worcester,Worcester,Worcester,Central Massachusetts
01653,Worcester,Worcester,Worcester,Central Massachusetts
