mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Riverside,place-river,0,202,42,0,5,0,2196
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Medford/Tufts,place-mdftf,20252,0,42,482,0,482,2197
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Amory Street,place-amory,1456,1669,42,35,40,861,2198
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Beaconsfield,place-bcnfd,760,913,42,18,22,532,2199
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Chestnut Hill Avenue,place-chill,329,1997,42,8,48,71,2200
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Hynes Convention Center,place-hymnl,9706,36241,42,231,863,1604,2201
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Riverway,place-rvrwy,2,30,42,0,1,6,2202
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Mission Park,place-mispk,290,2102,42,7,50,556,2203
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Arlington,place-armnl,17031,20292,42,406,483,5112,2204
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Chiswick Road,place-chswk,291,853,42,7,20,112,2205
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Kenmore,place-kencl,4120,25808,42,98,614,1061,2206
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Babcock Street,place-babck,1230,2434,42,29,58,832,2207
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Cleveland Circle,place-clmnl,0,2443,42,0,58,0,2208
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Museum of Fine Arts,place-mfa,501,2584,42,12,62,882,2209
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Saint Mary's Street,place-smary,7,10,42,0,0,3,2210
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Blandford Street,place-bland,2041,1181,42,49,28,473,2211
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Coolidge Corner,place-cool,971,1644,42,23,39,84,2212
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Boston College,place-lake,0,3472,42,0,83,0,2213
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Boston University Central,place-bucen,1645,2259,42,39,54,472,2214
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Copley,place-coecl,17280,40574,42,411,966,2596,2215
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Kent Street,place-kntst,370,299,42,9,7,233,2216
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Boston University East,place-buest,1806,1234,42,43,29,488,2217
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Dean Road,place-denrd,420,550,42,10,13,64,2218
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Saint Paul Street,place-stpul,8,6,42,0,0,3,2219
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Newton Centre,place-newto,639,1724,42,15,41,472,2220
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Lechmere,place-lech,7671,3426,42,183,82,534,2221
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Boylston,place-boyls,23299,13780,42,555,328,5399,2222
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Back of the Hill,place-bckhl,220,1547,42,5,37,264,2223
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,East Somerville,place-esomr,980,802,42,23,19,813,2224
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Science Park/West End,place-spmnl,133,64,42,3,2,34,2225
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Newton Highlands,place-newtn,530,1475,42,13,35,453,2226
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Longwood,place-longw,2803,1891,42,67,45,440,2227
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Brandon Hall,place-bndhl,445,483,42,11,11,176,2228
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Ball Square,place-balsq,3729,312,42,89,7,313,2229
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Eliot,place-eliot,552,507,42,13,12,243,2230
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,South Street,place-sougr,35,10,42,1,0,2,2231
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Northeastern University,place-nuniv,991,4251,42,24,101,931,2232
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,North Station,place-north,48900,3435,42,1164,82,2220,2233
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Packard's Corner,place-brico,1554,1967,42,37,47,413,2234
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Park Street,place-pktrm,76027,76614,42,1810,1824,5134,2235
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Prudential,place-prmnl,1643,15079,42,39,359,1183,2236
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Reservoir,place-rsmnl,1469,2275,42,35,54,513,2237
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Riverside,place-river,0,10047,42,0,239,0,2238
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Riverway,place-rvrwy,306,1968,42,7,47,527,2239
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Saint Mary's Street,place-smary,1392,866,42,33,21,223,2240
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stpul,558,806,42,13,19,226,2241
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Science Park/West End,place-spmnl,4038,1547,42,96,37,1132,2242
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,South Street,place-sougr,389,938,42,9,22,82,2243
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Summit Avenue,place-sumav,595,1125,42,14,27,178,2244
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Sutherland Road,place-sthld,638,1400,42,15,33,195,2245
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Symphony,place-symcl,2465,10960,42,59,261,994,2246
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Tappan Street,place-tapst,476,1830,42,11,44,101,2247
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Union Square,place-unsqu,6331,0,42,151,0,151,2248
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Waban,place-waban,482,912,42,11,22,449,2249
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Warren Street,place-wrnst,986,2447,42,23,58,269,2250
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Washington Square,place-bcnwa,565,1976,42,13,47,134,2251
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Washington Street,place-wascm,1193,3587,42,28,85,212,2252
